Age,Attrition,BusinessTravel,Daily Rate,Department,Distance From Home,Education,Education Field,EmployeeNumber,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,JobRole,Job Satisfaction,Marital Status,Monthly Income,Monthly Rate,Num Companies Worked,Overtime,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
41,Yes,Travel Rarely,1102,Sales,1,College,Life Sciences,1,Medium,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8.0,Overtime,11,3,Low,0,8.0,0,Low,6,4.0,0.0,5.0
49,No,Travel Frequently,279,Research & Development,8,Below College,Life Sciences,2,High,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1.0,No Overtime,23,4,Very High,1,10.0,3,High,10,7.0,1.0,7.0
37,Yes,Travel Rarely,1373,Research & Development,2,College,Other,4,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6.0,Overtime,15,3,Medium,0,7.0,3,High,0,0.0,0.0,0.0
33,No,Travel Frequently,1392,Research & Development,3,Master,Life Sciences,5,Very High,Female,56,High,1,Research Scientist,High,Married,2909,23159,1.0,Overtime,11,3,High,0,8.0,3,High,8,7.0,3.0,0.0
27,No,Travel Rarely,591,Research & Development,2,Below College,Medical,7,Low,Male,40,High,1,Laboratory Technician,Medium,Married,3468,16632,8.5,No Overtime,12,3,Very High,1,6.0,3,High,2,2.0,2.0,2.0
32,No,Travel Frequently,1005,Research & Development,2,College,Life Sciences,8,Very High,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0.0,No Overtime,13,3,High,0,8.0,2,Medium,7,7.0,3.0,6.0
59,No,Travel Rarely,1324,Research & Development,3,Bachelor,Medical,10,High,Female,81,Very High,1,Laboratory Technician,Low,Married,2670,9964,4.0,Overtime,20,4,Low,3,12.0,3,Medium,1,0.0,0.0,0.0
30,No,Travel Rarely,1358,Research & Development,24,Below College,Life Sciences,11,Very High,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1.0,No Overtime,22,4,Medium,1,1.0,2,High,1,0.0,0.0,0.0
38,No,Travel Frequently,216,Research & Development,23,Bachelor,Life Sciences,12,Very High,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0.0,No Overtime,21,4,Medium,0,10.0,2,High,9,7.0,1.0,8.0
36,No,Travel Rarely,1299,Research & Development,27,Bachelor,Medical,13,High,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6.0,No Overtime,13,3,Medium,2,17.0,3,Medium,7,7.0,7.0,7.0
35,No,Travel Rarely,809,Research & Development,16,Bachelor,Medical,14,Low,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0.0,No Overtime,13,3,High,1,6.0,5,High,5,4.0,0.0,3.0
29,No,Travel Rarely,153,Research & Development,15,College,Life Sciences,15,Very High,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0.0,Overtime,12,3,Very High,0,10.0,3,High,9,5.0,0.0,8.0
31,No,Travel Rarely,670,Research & Development,26,Below College,Life Sciences,16,Low,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1.0,No Overtime,17,3,Very High,1,5.0,1,Medium,5,2.0,4.0,3.0
34,No,Travel Rarely,1346,Research & Development,19,College,Medical,18,Medium,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0.0,No Overtime,11,3,High,1,3.0,2,High,2,2.0,1.0,2.0
28,Yes,Travel Rarely,103,Research & Development,24,Bachelor,Life Sciences,19,High,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5.0,Overtime,14,3,Medium,0,6.0,4,High,4,2.0,0.0,3.0
29,No,Travel Rarely,1389,Research & Development,21,Master,Life Sciences,20,Medium,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1.0,No Overtime,11,3,High,1,10.0,1,High,10,9.0,7.5,8.0
32,No,Travel Rarely,334,Research & Development,5,College,Life Sciences,21,Low,Male,80,Very High,1,Research Scientist,Medium,Divorced,3298,15053,0.0,Overtime,12,3,Very High,2,7.0,5,Medium,6,2.0,0.0,5.0
22,No,No Travel,1123,Research & Development,16,College,Medical,22,Very High,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1.0,Overtime,13,3,Medium,2,1.0,2,Medium,1,0.0,0.0,0.0
53,No,Travel Rarely,1219,Sales,2,Master,Life Sciences,23,Low,Female,78,Medium,4,Manager,Very High,Married,15427,22021,2.0,No Overtime,16,3,High,0,28.5,3,High,18,8.0,3.0,7.0
38,No,Travel Rarely,371,Research & Development,2,Bachelor,Life Sciences,24,Very High,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5.0,Overtime,11,3,High,0,6.0,3,High,3,2.0,1.0,2.0
24,No,No Travel,673,Research & Development,11,College,Other,26,Low,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,8232,0.0,No Overtime,18,3,Very High,1,5.0,5,Medium,4,2.0,1.0,3.0
36,Yes,Travel Rarely,1218,Sales,9,Master,Life Sciences,27,High,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7.0,No Overtime,23,4,Medium,0,10.0,4,High,5,3.0,0.0,3.0
34,No,Travel Rarely,419,Research & Development,7,Master,Life Sciences,28,Low,Female,53,High,3,Research Director,Medium,Single,11994,21293,0.0,No Overtime,11,3,High,0,13.0,4,High,12,6.0,2.0,11.0
